Round,LastCommandType,LastCommand,ActiveWorm,Score,Health,Worm1 Health,Worm1 x,Worm1 y,Worm2 Health,Worm2 x,Worm2 y,Worm3 Health,Worm3 x,Worm3 y
1,null,"null",1,116,350,150,8,28,100,8,4,100,31,16
2,move,"move 9 27",1,121,350,150,9,27,100,8,4,100,31,16
3,move,"move 9 5",2,126,350,150,9,27,100,9,5,100,31,16
4,move,"move 30 17",3,131,350,150,9,27,100,9,5,100,30,17
5,dig,"dig 10 26",1,138,350,150,9,27,100,9,5,100,30,17
6,dig,"dig 10 6",2,145,350,150,9,27,100,9,5,100,30,17
7,dig,"dig 29 17",3,152,350,150,9,27,100,9,5,100,30,17
8,move,"move 10 26",1,157,350,150,10,26,100,9,5,100,30,17
9,move,"move 10 6",2,162,350,150,10,26,100,10,6,100,30,17
10,move,"move 29 17",3,167,350,150,10,26,100,10,6,100,29,17
11,move,"move 11 25",1,172,350,150,11,25,100,10,6,100,29,17
12,dig,"dig 11 7",2,179,350,150,11,25,100,10,6,100,29,17
13,move,"move 28 17",3,184,350,150,11,25,100,10,6,100,28,17
14,move,"move 12 24",1,189,350,150,12,24,100,10,6,100,28,17
15,move,"move 11 7",2,194,350,150,12,24,100,11,7,100,28,17
16,move,"move 27 17",3,199,350,150,12,24,100,11,7,100,27,17
17,dig,"dig 13 23",1,206,350,150,12,24,100,11,7,100,27,17
18,move,"move 12 8",2,211,350,150,12,24,100,12,8,100,27,17
19,dig,"dig 26 17",3,218,350,150,12,24,100,12,8,100,27,17
20,move,"move 13 23",1,223,350,150,13,23,100,12,8,100,27,17
21,move,"move 13 9",2,228,350,150,13,23,100,13,9,100,27,17
22,move,"move 26 17",3,233,350,150,13,23,100,13,9,100,26,17
23,move,"move 14 22",1,238,350,150,14,22,100,13,9,100,26,17
24,dig,"dig 14 10",2,245,350,150,14,22,100,13,9,100,26,17
25,dig,"dig 25 17",3,252,350,150,14,22,100,13,9,100,26,17
26,dig,"dig 15 21",1,259,350,150,14,22,100,13,9,100,26,17
27,move,"move 14 10",2,264,350,150,14,22,100,14,10,100,26,17
28,move,"move 25 17",3,269,350,150,14,22,100,14,10,100,25,17
29,move,"move 15 21",1,274,350,150,15,21,100,14,10,100,25,17
30,move,"move 14 11",2,279,350,150,15,21,100,14,11,100,25,17
31,move,"move 24 17",3,284,350,150,15,21,100,14,11,100,24,17
32,dig,"dig 16 20",1,291,350,150,15,21,100,14,11,100,24,17
33,move,"move 14 12",2,296,350,150,15,21,100,14,12,100,24,17
34,move,"move 23 17",3,301,350,150,15,21,100,14,12,100,23,17
35,move,"move 16 20",1,306,350,150,16,20,100,14,12,100,23,17
36,move,"move 14 13",2,311,350,150,16,20,100,14,13,100,23,17
37,move,"move 22 17",3,316,350,150,16,20,100,14,13,100,22,17
38,move,"move 17 19",1,321,350,150,17,19,100,14,13,100,22,17
39,dig,"dig 14 14",2,328,350,150,17,19,100,14,13,100,22,17
40,move,"move 21 17",3,333,350,150,17,19,100,14,13,100,21,17
41,dig,"dig 18 18",1,340,350,150,17,19,100,14,13,100,21,17
42,move,"move 14 14",2,345,350,150,17,19,100,14,14,100,21,17
43,move,"move 20 17",3,350,350,150,17,19,100,14,14,100,20,17
44,move,"move 18 18",1,355,350,150,18,18,100,14,14,100,20,17
45,move,"move 14 15",2,364,360,150,18,18,110,14,15,100,20,17
46,move,"move 19 17",3,369,360,150,18,18,110,14,15,100,19,17
47,move,"move 18 17",1,377,370,160,18,17,110,14,15,100,19,17
48,dig,"dig 15 14",2,384,370,160,18,17,110,14,15,100,19,17
49,move,"move 20 16",3,389,370,160,18,17,110,14,15,100,20,16
50,move,"move 19 16",1,394,370,160,19,16,110,14,15,100,20,16
51,move,"move 15 14",2,399,370,160,19,16,110,15,14,100,20,16
52,dig,"dig 21 15",3,406,370,160,19,16,110,15,14,100,20,16
53,dig,"dig 20 15",1,413,370,160,19,16,110,15,14,100,20,16
54,move,"move 16 14",2,413,370,160,19,16,110,15,14,100,20,16
